Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,204191,-,-,-,34.05,-118.26,-8,120,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,30,5.4,1.4000000000000001,0.048,0.64,0,0,0,0,0,2.8000000000000003,0,0,0,0,0.289,83.59,166.74,0.91,0.14,987,0.6000000000000001,15,2.9000000000000004,0.0000,0.0000
2022,1,1,1,30,5.1000000000000005,1.37,0.045,0.64,0,0,0,0,0,2.5,0,0,0,0,0.29,83.19,156.77,0.91,0.14,988,0.6000000000000001,23,2.8000000000000003,0.0000,0.0000
2022,1,1,2,30,4.9,1.32,0.041,0.64,0,0,0,0,0,2,0,0,0,0,0.289,81.3,144.77,0.9,0.14,988,0.5,32,2.7,0.0000,0.0000
2022,1,1,3,30,4.7,1.26,0.036000000000000004,0.64,0,0,0,0,0,1.3,0,0,0,0,0.28600000000000003,78.52,132.37,0.89,0.14,989,0.5,39,2.6,0.0000,0.0000
2022,1,1,4,30,4.5,1.23,0.032,0.64,0,0,0,0,0,0.6000000000000001,0,0,0,0,0.28400000000000003,75.61,120.01,0.88,0.14,990,0.5,45,2.6,0.0000,0.0000
2022,1,1,5,30,4.4,1.23,0.03,0.64,0,0,0,0,0,-0.2,0,0,0,0,0.28300000000000003,71.99,107.88,0.87,0.14,991,0.4,51,2.5,0.0000,0.0000
2022,1,1,6,30,4.9,1.23,0.028,0.64,0,0,0,0,0,-1.1,0,0,0,0,0.28300000000000003,65.27,96.2,0.87,0.14,992,0.4,58,2.5,0.0000,0.0000
2022,1,1,7,30,7,1.25,0.027,0.64,27,483,69,0,0,-0.9,27,483,0,69,0.28200000000000003,57.09,85.04,0.87,0.14,993,0.4,60,3,0.0000,0.0000
2022,1,1,8,30,9.5,1.26,0.027,0.64,48,779,247,0,0,-0.9,48,779,0,247,0.281,48.230000000000004,75.18,0.87,0.14,994,0.5,60,3.9000000000000004,12.0595,9.2647
2022,1,1,9,30,11.4,1.27,0.027,0.64,59,892,411,0,0,-2,59,892,0,411,0.28,39.32,66.79,0.89,0.14,995,0.5,60,4.3,21.6222,16.8033
